Transaction_ID,User_ID,Loan_Type,Loan_Amount,Date,Payment_Status,Reason
LON_202404609EA1,PP0048488,Credit Score,4183.76,2024-10-23,Failed,Bank Denied
LON_813706C82C8E,PP0046623,Credit Score,41859.33,2024-03-04,Successful,Successful
LON_79FB907D6B24,PP0015019,Gold Loan,17590.4,2024-12-08,Successful,Successful
LON_C5F6E6C49806,PP0037294,Gold Loan,99243.33,2024-07-28,Failed,Server error
LON_CF52F8F68004,PP1071260,Auto Loan,66335.04,2024-03-09,Successful,Successful
LON_604EB5F44CEA,PP1075047,Credit Score,14944.02,2024-05-07,Successful,Successful
LON_6B283DE04634,PP1078410,Auto Loan,18987.04,2024-02-12,Successful,Successful
LON_0DCB73615EEB,PP1091332,Credit Score,81513.81,2024-01-01,Successful,Successful
LON_F25189B84BFC,PP0040268,Mutual Fund,8436.4,2024-08-13,Successful,Successful
LON_471F205C6823,PP1107394,Gold Loan,47282.31,2024-09-16,Successful,Successful
LON_4B97FB74DF0A,PP0029143,Mutual Fund,86015.79,2024-05-09,Successful,Successful
LON_2BE6DB143DD8,PP1106532,Gold Loan,47563.93,2024-08-25,Successful,Successful
LON_0D9C2F13C16E,PP1084433,Gold Loan,95075.8,2024-04-25,Successful,Successful
LON_64D8198C00B8,PP0040740,Gold Loan,56335.57,2024-04-16,Successful,Successful
LON_1C61E6F0B8DB,PP1055182,Auto Loan,22709.85,2024-11-09,Successful,Successful
LON_80DF7C1B53B9,PP1053690,Auto Loan,60502.02,2024-12-04,Successful,Successful
LON_39148499DB74,PP1096578,Auto Loan,47545.94,2024-10-11,Successful,Successful
LON_13B18A2C0B81,PP0043751,Mutual Fund,28117.76,2024-12-17,Successful,Successful
LON_C1DDDF6AAB52,PP0000846,Auto Loan,3658.03,2024-02-25,Successful,Successful
LON_BB8D6FC174D7,PP0020541,Mutual Fund,6418.22,2024-07-27,Successful,Successful
LON_AA5FFA520598,PP1091995,Credit Score,20212.47,2024-07-15,Successful,Successful
LON_95D6F307FCF5,PP0032126,Gold Loan,26805.39,2024-07-24,Successful,Successful
LON_1F416DF66F18,PP1075784,Mutual Fund,31613.6,2024-04-24,Successful,Successful
LON_31F207968521,PP1058927,Credit Score,46886.53,2024-12-28,Failed,Server error
LON_5328A95E39E3,PP1093685,Gold Loan,48738.1,2024-08-24,Successful,Successful
LON_078F1E4A6349,PP1083803,Credit Score,26691.76,2024-04-10,Successful,Successful
LON_57487C71E37C,PP1067386,Mutual Fund,92516.73,2024-04-18,Successful,Successful
LON_00D159FC091F,PP1050532,Credit Score,13688.73,2024-11-29,Successful,Successful
LON_DC249DDA1E67,PP1084249,Gold Loan,11354.06,2024-10-19,Successful,Successful
LON_3D89891826CC,PP0036981,Auto Loan,86523.46,2024-10-17,Successful,Successful
LON_5CC5EB0525E4,PP0017728,Credit Score,79103.61,2024-01-07,Successful,Successful
LON_1D0417FB07D5,PP1082211,Mutual Fund,58750.03,2024-04-05,Successful,Successful
LON_952113C3E57A,PP1101716,Auto Loan,74900.02,2024-08-29,Successful,Successful
LON_D84E26D0B385,PP1062270,Gold Loan,79813.92,2024-07-05,Successful,Successful
LON_B3CC88AEA0DA,PP0024968,Gold Loan,69109.76,2024-04-25,Successful,Successful
LON_102BA262992B,PP1065788,Credit Score,88293.5,2024-10-24,Successful,Successful
LON_DC02EB08A45A,PP1076560,Mutual Fund,29433.36,2024-11-24,Successful,Successful
LON_4A00296662D6,PP1093037,Credit Score,45135.06,2024-04-29,Successful,Successful
LON_E60BEF0B9841,PP0032357,Mutual Fund,41908.03,2024-03-20,Successful,Successful
LON_FB158533CA11,PP1078124,Credit Score,83183.47,2024-06-09,Successful,Successful
LON_3F4EB1A531A8,PP1077904,Mutual Fund,52070.97,2024-05-08,Successful,Successful
LON_5745D572B780,PP1054020,Gold Loan,29099.81,2024-04-25,Successful,Successful
LON_8F4CFE5947B7,PP1107498,Auto Loan,89331.6,2024-11-03,Successful,Successful
LON_6823D21593EF,PP0033677,Credit Score,65254.67,2024-04-23,Successful,Successful
LON_3CF4DF70FA8F,PP0011674,Gold Loan,29354.42,2024-05-23,Successful,Successful
LON_6BCE96AD9C8B,PP1085536,Credit Score,63016.36,2024-03-19,Successful,Successful
LON_CF46F7469322,PP0006206,Mutual Fund,92806.8,2024-11-20,Successful,Successful
LON_89311129413F,PP1070206,Mutual Fund,22687.78,2024-03-19,Successful,Successful
LON_D310F8142B68,PP0029082,Mutual Fund,59837.4,2024-10-12,Successful,Successful
LON_08C43B2D1CC4,PP1086324,Gold Loan,12943.27,2024-11-26,Successful,Successful
LON_D7D18585BD42,PP1053297,Gold Loan,36103.11,2024-05-07,Successful,Successful
LON_A4265127850B,PP1082789,Auto Loan,78459.52,2024-03-16,Successful,Successful
LON_F12DD57D21B8,PP0043552,Gold Loan,44978.09,2024-10-20,Successful,Successful
LON_9D01E106AC1B,PP1073034,Mutual Fund,95943.7,2024-04-03,Failed,Server error
LON_26A49EA5C3DB,PP0036764,Credit Score,97260.3,2024-07-05,Successful,Successful
LON_54CC0D43F930,PP0010076,Auto Loan,70598.35,2024-05-27,Successful,Successful
LON_9D1933432FE3,PP0001636,Auto Loan,57703.68,2024-01-21,Successful,Successful
LON_6016D8528660,PP1097861,Auto Loan,38006.51,2024-07-18,Successful,Successful
LON_603294D19EFE,PP1050697,Mutual Fund,4996.24,2024-11-29,Successful,Successful
LON_5012942E3129,PP1081970,Credit Score,98739.32,2024-05-11,Successful,Successful
LON_3279E200DB97,PP1057270,Gold Loan,89855.22,2024-09-25,Successful,Successful
LON_4D156E597264,PP0040743,Credit Score,84242.6,2024-11-17,Successful,Successful
LON_C84AC347282D,PP0000388,Credit Score,14371.89,2024-09-11,Successful,Successful
LON_8C313321F054,PP0027911,Gold Loan,13730.23,2024-02-07,Successful,Successful
LON_493E5A45457E,PP0001944,Auto Loan,19206.62,2024-06-29,Successful,Successful
LON_3A18492B2E6E,PP1061841,Mutual Fund,39538.66,2024-01-10,Successful,Successful
LON_EC506B11F689,PP1100778,Auto Loan,3554.39,2024-03-18,Successful,Successful
LON_04CAE28CCABB,PP0049290,Gold Loan,94521.63,2024-07-21,Successful,Successful
LON_87B72AD34B69,PP0031179,Mutual Fund,41923.1,2024-02-07,Successful,Successful
LON_6931A2955E2C,PP1093197,Auto Loan,45322.09,2024-07-31,Successful,Successful
LON_AD29563DA359,PP1051493,Auto Loan,72393.38,2024-11-13,Successful,Successful
LON_E5EF37E0C832,PP1061198,Mutual Fund,39133.56,2024-10-31,Successful,Successful
LON_F269DC4D05DB,PP1084915,Gold Loan,59525.03,2024-12-29,Successful,Successful
LON_D94DCEECF27F,PP0023479,Auto Loan,30466.48,2024-02-03,Successful,Successful
LON_EB913B59DB0A,PP0007704,Mutual Fund,42368.77,2024-01-15,Successful,Successful
LON_8D4A01911423,PP0028143,Auto Loan,82983.64,2024-10-04,Successful,Successful
LON_2EDB94177BB8,PP1089232,Mutual Fund,17145.1,2024-06-28,Successful,Successful
LON_F9778F36A20F,PP1080421,Auto Loan,12939.71,2024-01-22,Successful,Successful
LON_54360C6A1EA0,PP1089073,Auto Loan,69635.45,2024-04-09,Successful,Successful
LON_72E735CB2588,PP1081661,Credit Score,12938.4,2024-06-24,Successful,Successful
LON_4D407010595B,PP0021557,Mutual Fund,39403.08,2024-06-15,Successful,Successful
LON_6D0FFED88EC8,PP0008904,Credit Score,97538.54,2024-05-28,Failed,Wrong Info
LON_39A070BDAA58,PP0030757,Credit Score,23747.45,2024-05-16,Successful,Successful
LON_4C0AF9978045,PP1052254,Gold Loan,55693.03,2024-01-15,Successful,Successful
LON_A6C053D2C1AA,PP1103669,Credit Score,97362.3,2024-07-20,Successful,Successful
LON_BED30F49EF6C,PP1064713,Credit Score,62182.68,2024-08-06,Successful,Successful
LON_9E9A16EE739B,PP1076018,Mutual Fund,30051.11,2024-06-09,Successful,Successful
LON_46D2D691A956,PP0008039,Gold Loan,73803.8,2024-09-26,Successful,Successful
LON_6938013DAE0B,PP0000580,Auto Loan,35027.69,2024-08-24,Successful,Successful
LON_60C7FDD5F98E,PP0010978,Auto Loan,78977.09,2024-01-26,Failed,Server error
LON_513D52947299,PP1089852,Gold Loan,9770.87,2024-05-23,Successful,Successful
LON_8544457183F8,PP1097322,Credit Score,40604.65,2024-04-05,Successful,Successful
LON_07F51971E3A4,PP0027198,Mutual Fund,58819.78,2024-10-25,Successful,Successful
LON_DD8BF989F66A,PP1106744,Credit Score,44201.01,2024-05-15,Successful,Successful
LON_CC19B9360315,PP1104164,Gold Loan,83905.73,2024-04-20,Successful,Successful
LON_2FCB3759B431,PP1068893,Mutual Fund,74700.03,2024-09-16,Successful,Successful
LON_4BDC087DEB86,PP0045054,Credit Score,17422.72,2024-07-05,Successful,Successful
LON_FF04DB980782,PP0042060,Credit Score,6696.54,2024-10-16,Successful,Successful
LON_F77E194C62CA,PP0034442,Mutual Fund,98790.56,2024-12-12,Successful,Successful
LON_CDE878ECF3DE,PP0027885,Mutual Fund,60181.08,2024-05-11,Successful,Successful
LON_69B4FBB58BEF,PP1053859,Credit Score,30810.92,2024-06-21,Successful,Successful
LON_B006E613FB33,PP1068971,Credit Score,1315.9,2024-04-22,Successful,Successful
LON_DD0D7927A42E,PP0018679,Gold Loan,89623.58,2024-07-09,Successful,Successful
LON_EA00559E4E19,PP0043509,Auto Loan,47761.98,2024-05-28,Successful,Successful
LON_C0FB0AF26F8B,PP0012810,Auto Loan,63210.7,2024-11-07,Successful,Successful
LON_0539A7D6F389,PP1081602,Credit Score,76031.75,2024-03-03,Successful,Successful
LON_1F6A4102A5B4,PP1051677,Credit Score,10105.72,2024-08-07,Successful,Successful
LON_B426AEBF2087,PP1085158,Mutual Fund,26481.2,2024-03-27,Successful,Successful
LON_CBCDB3491E16,PP1087454,Mutual Fund,49455.2,2024-11-23,Successful,Successful
LON_ECCDB5B8DA2F,PP0030369,Mutual Fund,64906.93,2024-03-13,Successful,Successful
LON_CED0247B9378,PP1064247,Gold Loan,35118.8,2024-04-24,Successful,Successful
LON_D455CD074220,PP0041023,Gold Loan,83048.8,2024-03-18,Successful,Successful
LON_D7C950F03E4F,PP0006618,Credit Score,31743.82,2024-02-27,Successful,Successful
LON_324726ED39F5,PP1084563,Credit Score,28686.52,2024-11-20,Successful,Successful
LON_3506E9CBCE02,PP0033665,Mutual Fund,61262.05,2024-07-31,Successful,Successful
LON_F64DF33D156F,PP0006845,Auto Loan,25877.39,2024-05-09,Successful,Successful
LON_F395262B933F,PP0034495,Credit Score,80338.55,2024-12-23,Successful,Successful
LON_F4570B6DF888,PP1094475,Mutual Fund,84454.12,2024-02-16,Successful,Successful
LON_255BC2136C84,PP1056886,Mutual Fund,64715.02,2024-01-08,Successful,Successful
LON_BE7EE0D97EA1,PP1057318,Mutual Fund,59348.49,2024-02-18,Successful,Successful
LON_4961679D2586,PP1066457,Auto Loan,39057.74,2024-08-25,Successful,Successful
LON_A6675F462BCD,PP1062898,Credit Score,54208.91,2024-03-29,Successful,Successful
LON_8DDAB389E0BB,PP0006446,Auto Loan,20623.88,2024-01-31,Successful,Successful
LON_B320F8E4F30A,PP0003275,Auto Loan,43064.36,2024-05-14,Successful,Successful
LON_AB90690E8BD6,PP1049500,Credit Score,49772.72,2024-07-20,Successful,Successful
LON_7F10D1DDA538,PP1065287,Auto Loan,2390.59,2024-06-09,Successful,Successful
LON_300167A3B623,PP1084988,Auto Loan,2709.36,2024-07-21,Successful,Successful
LON_796F813A0D5C,PP0002705,Credit Score,77173.54,2024-09-19,Successful,Successful
LON_C810575DDD00,PP0019151,Auto Loan,6627.69,2024-06-24,Successful,Successful
LON_3A54EB83EB3A,PP0007890,Mutual Fund,38247.41,2024-09-27,Successful,Successful
LON_A86A15461575,PP0032968,Mutual Fund,40758.34,2024-04-06,Successful,Successful
LON_2D970234EF65,PP0029691,Gold Loan,14413.0,2024-10-16,Successful,Successful
LON_69B1F3445E12,PP0011567,Mutual Fund,83725.29,2024-05-05,Successful,Successful
LON_979FEFF7FF61,PP1050694,Gold Loan,59798.45,2024-03-18,Successful,Successful
LON_0E992C0CED14,PP1096590,Gold Loan,8325.11,2024-10-18,Successful,Successful
LON_A995D5C5E506,PP1101714,Mutual Fund,54171.0,2024-05-30,Successful,Successful
LON_CC5D20B39831,PP0015576,Credit Score,4782.62,2024-06-01,Successful,Successful
LON_05CC6820D2F9,PP0032643,Mutual Fund,99505.31,2024-06-25,Successful,Successful
LON_A32CB7E80D7E,PP1076719,Gold Loan,79284.58,2024-10-21,Successful,Successful
LON_840037FF1918,PP1088714,Auto Loan,32638.64,2024-07-10,Successful,Successful
LON_8950CA8B3C08,PP1075015,Credit Score,76592.07,2024-09-21,Successful,Successful
LON_DB5285288CEC,PP0002565,Mutual Fund,22924.74,2024-07-17,Successful,Successful
LON_ED8891A788AC,PP0002912,Gold Loan,35564.76,2024-06-16,Successful,Successful
LON_FA6B4E913A03,PP1063087,Gold Loan,67210.98,2024-11-02,Successful,Successful
LON_A7429660D0E5,PP0047471,Auto Loan,7668.32,2024-09-22,Successful,Successful
LON_6A984CABD43B,PP1100292,Auto Loan,37562.07,2024-06-22,Successful,Successful
LON_46B5D073C0F8,PP1081232,Mutual Fund,71387.34,2024-04-12,Successful,Successful
LON_EC5A8B784DA7,PP1060917,Credit Score,20444.08,2024-12-23,Successful,Successful
LON_9FCB61EC02D9,PP0040516,Mutual Fund,97102.9,2024-01-22,Successful,Successful
LON_87C5A4D926B9,PP1052848,Mutual Fund,17387.23,2024-03-13,Successful,Successful
LON_B85C0C67ACCB,PP1059890,Gold Loan,43027.14,2024-02-25,Successful,Successful
LON_C839EF75EF4B,PP1050154,Auto Loan,14268.82,2024-11-02,Successful,Successful
LON_4DB7E638247C,PP1087342,Credit Score,26352.44,2024-03-28,Successful,Successful
LON_D8BDD0A130D6,PP1085406,Auto Loan,75180.41,2024-07-16,Successful,Successful
LON_AB37FA8A1ED4,PP1096571,Gold Loan,41308.27,2024-08-31,Successful,Successful
LON_C2D082C04A53,PP0005407,Mutual Fund,41916.73,2024-12-20,Successful,Successful
LON_4130F1FAD0F5,PP0047583,Mutual Fund,50695.98,2024-06-03,Successful,Successful
LON_9D4F1B1D9370,PP0008451,Gold Loan,62344.57,2024-01-21,Successful,Successful
LON_C1BECA903CAC,PP0028956,Mutual Fund,11312.48,2024-01-05,Successful,Successful
LON_E7B807EEBECF,PP0026815,Auto Loan,87804.04,2024-07-19,Successful,Successful
LON_35CABF4115F3,PP1098871,Credit Score,5570.64,2024-02-19,Successful,Successful
LON_F9FCE0073A39,PP1100442,Mutual Fund,74624.22,2024-12-15,Successful,Successful
LON_10DC31C38A2D,PP0021452,Auto Loan,32593.75,2024-05-12,Successful,Successful
LON_B71E13520A96,PP1057439,Credit Score,31679.49,2024-05-21,Successful,Successful
LON_372CD31D91B7,PP0026654,Gold Loan,20642.59,2024-10-18,Successful,Successful
LON_2064B5EBB470,PP1072294,Gold Loan,66212.58,2024-07-23,Successful,Successful
LON_B933552D4632,PP1107159,Credit Score,91970.1,2024-06-16,Successful,Successful
LON_6DD0FE85F916,PP0025926,Credit Score,6038.6,2024-05-22,Successful,Successful
LON_D845723876AF,PP0042174,Mutual Fund,7262.61,2024-10-12,Successful,Successful
LON_58B5AC8B5D07,PP0027912,Auto Loan,74555.36,2024-03-05,Successful,Successful
LON_C05BD43CAD67,PP0017562,Gold Loan,92124.71,2024-03-13,Successful,Successful
LON_B04203B51B55,PP1087844,Gold Loan,64887.64,2024-03-29,Successful,Successful
LON_879812427A7D,PP0026689,Auto Loan,82660.4,2024-09-02,Successful,Successful
LON_C04EC41D30E2,PP0024670,Auto Loan,66074.81,2024-08-17,Successful,Successful
LON_EC803ED6C4FE,PP1069443,Mutual Fund,7815.45,2024-06-12,Successful,Successful
LON_E25C7BE2D556,PP1072976,Auto Loan,6763.7,2024-02-18,Successful,Successful
LON_F1F21151DE9B,PP1069163,Credit Score,93896.18,2024-09-18,Successful,Successful
LON_77F69FE5EC2D,PP1075018,Credit Score,17441.95,2024-08-24,Successful,Successful
LON_B53999FE38C7,PP1050989,Auto Loan,82755.37,2024-11-24,Successful,Successful
LON_A0F6FCAF3093,PP0007273,Credit Score,85845.62,2024-03-01,Successful,Successful
LON_CBDD93CB2C50,PP1058674,Mutual Fund,93307.62,2024-04-22,Successful,Successful
LON_8C81B0AD1D76,PP1059490,Auto Loan,97179.52,2024-05-20,Successful,Successful
LON_E9BC68866A23,PP0016556,Auto Loan,24109.58,2024-10-22,Successful,Successful
LON_D2BF939D3F95,PP1102041,Gold Loan,26968.16,2024-05-09,Successful,Successful
LON_D1C31B52095F,PP0009899,Gold Loan,10649.25,2024-06-22,Successful,Successful
LON_9088F5ED50A6,PP1098012,Credit Score,89456.67,2024-11-23,Successful,Successful
LON_78C57FAA8849,PP0026849,Gold Loan,89049.11,2024-08-31,Successful,Successful
LON_7B3CA1697515,PP0040418,Mutual Fund,2795.22,2024-04-16,Successful,Successful
LON_924907E12337,PP1063632,Credit Score,62922.1,2024-04-19,Successful,Successful
LON_F9C4855F1471,PP0044924,Auto Loan,91655.6,2024-09-04,Successful,Successful
LON_E57F56007CE5,PP1060114,Mutual Fund,98624.78,2024-02-17,Successful,Successful
LON_09EA3E62199F,PP0039302,Gold Loan,27732.39,2024-09-10,Successful,Successful
LON_0F0ACF5C873F,PP1072676,Gold Loan,87359.16,2024-05-15,Successful,Successful
LON_7143364F979C,PP0007395,Gold Loan,6733.04,2024-06-27,Successful,Successful
LON_B6AFF4D8397D,PP1084717,Credit Score,25052.07,2024-08-17,Successful,Successful
LON_DB21EBC54DC8,PP1101607,Auto Loan,60960.7,2024-10-11,Failed,Bank Denied
LON_39FFD97F3D87,PP0026372,Credit Score,94176.47,2024-04-20,Successful,Successful
LON_9EE54D757029,PP0008659,Gold Loan,19446.86,2024-12-24,Successful,Successful
LON_0E5E349FE567,PP1079374,Auto Loan,93853.75,2024-04-22,Successful,Successful
LON_62EB4A22EC0B,PP1053226,Credit Score,57063.01,2024-06-22,Successful,Successful
LON_1F812246CE7C,PP0045967,Mutual Fund,38300.79,2024-09-17,Successful,Successful
LON_A04DBD34DAB5,PP0033959,Mutual Fund,68841.56,2024-02-26,Successful,Successful
LON_1EB8BB52AD29,PP1075842,Credit Score,51198.28,2024-09-09,Successful,Successful
LON_4DBDF81F96D3,PP1103019,Gold Loan,59057.49,2024-06-20,Successful,Successful
LON_8F033B077015,PP0029685,Credit Score,4309.32,2024-06-01,Successful,Successful
LON_B3874D9F3238,PP1090029,Credit Score,77396.24,2024-08-15,Successful,Successful
LON_8ACC4A927862,PP0019032,Mutual Fund,89731.13,2024-02-13,Successful,Successful
LON_73101ADB46E2,PP1071743,Credit Score,43226.96,2024-01-03,Successful,Successful
LON_75E3384672F9,PP1084472,Credit Score,20314.08,2024-01-27,Successful,Successful
LON_075B35BC90CB,PP1050527,Credit Score,31093.98,2024-07-19,Successful,Successful
LON_23260D59B4C9,PP1095902,Auto Loan,97333.18,2024-01-28,Successful,Successful
LON_52CC6C648C91,PP0006963,Mutual Fund,80393.6,2024-12-17,Successful,Successful
LON_9A08E8D9AB43,PP0001036,Auto Loan,80971.69,2024-09-18,Successful,Successful
LON_2466867510F0,PP0019136,Credit Score,63834.18,2024-11-17,Successful,Successful
LON_95727E5A85DA,PP1067784,Auto Loan,48076.28,2024-07-20,Successful,Successful
LON_79316D314A60,PP0039644,Credit Score,68018.69,2024-03-25,Successful,Successful
LON_07A94AF4E6A7,PP0047240,Auto Loan,79030.35,2024-08-12,Successful,Successful
LON_B49C454DA3C8,PP1070396,Mutual Fund,54871.77,2024-07-01,Successful,Successful
LON_E51B26E5CD6B,PP0000441,Gold Loan,32274.08,2024-10-02,Successful,Successful
LON_70BD1D156306,PP1082271,Auto Loan,36714.08,2024-11-14,Successful,Successful
LON_63E509C47495,PP0008382,Gold Loan,84391.09,2024-09-23,Successful,Successful
LON_D5AD8FF57A92,PP0039077,Auto Loan,66645.48,2024-11-07,Failed,Server error
LON_A36D4B9ECB3F,PP0018451,Mutual Fund,68812.8,2024-03-05,Successful,Successful
LON_47333856100B,PP1054395,Gold Loan,32406.95,2024-04-16,Successful,Successful
LON_668D7CB32700,PP0015432,Mutual Fund,33188.53,2024-05-15,Successful,Successful
LON_EC2EFA2D7A76,PP1069180,Mutual Fund,42144.94,2024-08-21,Successful,Successful
LON_6044D44C13BA,PP1096462,Gold Loan,90485.05,2024-06-19,Successful,Successful
LON_72E85A11595A,PP0012359,Credit Score,48377.65,2024-03-20,Successful,Successful
LON_AC1AB4216ECC,PP0015870,Mutual Fund,77628.13,2024-03-13,Successful,Successful
LON_E8E9111B9ED9,PP1085542,Mutual Fund,10302.98,2024-11-02,Successful,Successful
LON_28118683590D,PP1083694,Credit Score,67351.67,2024-11-12,Successful,Successful
LON_6FBE04AA8B2E,PP1104386,Auto Loan,18034.43,2024-09-14,Successful,Successful
LON_CEE2FECE49FC,PP0043167,Mutual Fund,51644.05,2024-05-15,Successful,Successful
LON_61294A72DAA3,PP1060892,Gold Loan,49549.74,2024-03-19,Successful,Successful
LON_3F9EA59186F4,PP1086802,Auto Loan,42547.27,2024-03-30,Successful,Successful
LON_C75DD652A0A1,PP0030189,Gold Loan,62753.48,2024-11-03,Successful,Successful
LON_4EA081CD6B0F,PP1063437,Credit Score,12023.23,2024-11-14,Successful,Successful
LON_A83FBF07B95A,PP0036709,Credit Score,68611.78,2024-09-18,Successful,Successful
LON_E45E517BE776,PP0044275,Auto Loan,37950.52,2024-01-20,Successful,Successful
