Transaction_ID,User_ID,Insurance_Type,Premium,Date,Payment_Status,Reason
INS_278D60E732E4,PP1077981,Bike,13445.81,2024-12-04,Successful,Successful
INS_1BF6E9B38EC4,PP1076082,Term Life,19506.48,2024-06-15,Successful,Successful
INS_270314D70863,PP0021153,Car,12631.65,2024-11-07,Successful,Successful
INS_0F547B3279DA,PP0007181,Health,19306.2,2024-12-13,Successful,Successful
INS_BF7365E00DD1,PP0048641,Health,9257.06,2024-09-17,Successful,Successful
INS_A03AF4AF748E,PP1090380,Term Life,5371.24,2024-06-10,Failed,Insufficient amount
INS_B3AB1D096F67,PP1069735,Term Life,3799.61,2024-10-15,Successful,Successful
INS_080E0CB4DDF3,PP0013936,Health,15464.33,2024-04-02,Successful,Successful
INS_6BDBDE86FFF9,PP0019628,Term Life,2044.11,2024-09-20,Successful,Successful
INS_C01B2332B11B,PP1078047,Term Life,9488.01,2024-05-31,Successful,Successful
INS_3E321DBBBA7F,PP0043214,Health,16124.17,2024-09-11,Successful,Successful
INS_ED5C3A2AE41F,PP0045204,Bike,10388.38,2024-05-18,Successful,Successful
INS_EE8DBD8BB059,PP0010655,Health,3394.77,2024-12-21,Successful,Successful
INS_A4C571B82BD9,PP0046211,Bike,13769.63,2024-09-09,Successful,Successful
INS_9CD236B22FC6,PP1095061,Health,2748.13,2024-07-02,Successful,Successful
INS_9162D57CB133,PP0033751,Car,14356.63,2024-06-15,Successful,Successful
INS_99D7E2F88F05,PP0008770,Health,2620.64,2024-01-06,Successful,Successful
INS_D42B0CFFE9B4,PP0011171,Car,19998.9,2024-02-27,Successful,Successful
INS_80CCD93F0143,PP1053273,Term Life,7211.62,2024-04-12,Successful,Successful
INS_0DD0B8E5D25C,PP1059831,Car,8247.17,2024-06-30,Successful,Successful
INS_ECB7F0B62E17,PP0014106,Bike,19909.61,2024-05-29,Successful,Successful
INS_55D6B65AD265,PP0022630,Health,18563.75,2024-09-08,Successful,Successful
INS_1A36C4664E94,PP0047565,Health,11802.86,2024-09-08,Successful,Successful
INS_2223B9E16627,PP0009622,Car,11693.59,2024-08-04,Successful,Successful
INS_D0ED6924070B,PP1101929,Term Life,2610.27,2024-05-02,Successful,Successful
INS_A87B7FAB6286,PP0041644,Car,9034.61,2024-06-16,Successful,Successful
INS_FBF454F1BCBB,PP1100781,Car,2232.85,2024-08-16,Successful,Successful
INS_8AE8AAB63718,PP0038072,Health,5459.95,2024-04-29,Successful,Successful
INS_D5C354B1D6EB,PP0040940,Term Life,13960.28,2024-01-03,Successful,Successful
INS_52C51280416C,PP1097653,Health,1703.79,2024-09-26,Successful,Successful
INS_31B506A6CC07,PP0034501,Car,2741.3,2024-10-12,Successful,Successful
INS_983F421EF1FD,PP0000667,Bike,3704.31,2024-01-24,Successful,Successful
INS_EE4D4E1FFCFF,PP0021761,Car,13765.89,2024-08-30,Successful,Successful
INS_8646EA2F4726,PP1094724,Car,18453.91,2024-08-24,Successful,Successful
INS_0A43086CE190,PP0024726,Car,1283.52,2024-11-10,Successful,Successful
INS_B9704BC85D1F,PP0039877,Health,17218.03,2024-03-17,Successful,Successful
INS_442E20832753,PP1064186,Car,13088.15,2024-10-27,Successful,Successful
INS_50E4241FB83A,PP0049642,Bike,6511.92,2024-01-26,Successful,Successful
INS_BF17D0515AA3,PP0045659,Bike,14448.59,2024-12-15,Successful,Successful
INS_D12E4FC1ADE5,PP1081696,Bike,8434.76,2024-09-01,Successful,Successful
INS_5065FFF75CE8,PP0008103,Car,11116.01,2024-05-15,Successful,Successful
INS_784BC9BFAAD9,PP1068725,Car,4162.87,2024-01-27,Successful,Successful
INS_F10D23AE0402,PP1083034,Car,12604.48,2024-06-13,Successful,Successful
INS_F1A2D8CE2993,PP1080597,Car,3323.71,2024-12-27,Successful,Successful
INS_62A9412CC3A6,PP1095387,Health,1579.43,2024-09-09,Successful,Successful
INS_E8723597C8CF,PP0036111,Term Life,7551.27,2024-08-31,Successful,Successful
INS_C70217C5986D,PP0046453,Term Life,16979.69,2024-10-12,Successful,Successful
INS_BCB7948594BA,PP0042193,Term Life,14799.93,2024-07-08,Successful,Successful
INS_431AF706A6C6,PP1098283,Bike,19637.29,2024-05-29,Successful,Successful
INS_266B404609E1,PP0016250,Health,13236.46,2024-06-25,Successful,Successful
INS_2867CBE04DC1,PP1070368,Term Life,6851.55,2024-12-30,Successful,Successful
INS_BE99FFD8CAD4,PP1054984,Health,2776.95,2024-06-22,Successful,Successful
INS_45C6C8152EA9,PP0049913,Car,4383.77,2024-04-11,Successful,Successful
INS_1D4D95E4498F,PP1055546,Health,17636.17,2024-06-10,Successful,Successful
INS_3206EB6EF2A1,PP1057693,Bike,14626.4,2024-04-16,Successful,Successful
INS_31D791528C43,PP0002201,Health,891.39,2024-05-01,Successful,Successful
INS_B0A82C93A4B9,PP1102412,Health,7121.21,2024-10-05,Successful,Successful
INS_1FE317724777,PP1063539,Bike,737.88,2024-10-02,Successful,Successful
INS_7EA1617B9CF8,PP0039822,Term Life,7424.52,2024-02-28,Successful,Successful
INS_F66EEB1F8FC6,PP0006501,Term Life,3319.46,2024-09-23,Successful,Successful
INS_18CB73D04ED8,PP0020351,Health,8152.83,2024-11-05,Successful,Successful
INS_CE207CE979F4,PP1057496,Health,15219.65,2024-01-20,Successful,Successful
INS_79AB2571ED5F,PP1053703,Term Life,12043.64,2024-04-17,Successful,Successful
INS_1318CE5DC944,PP0042591,Health,3210.8,2024-08-22,Successful,Successful
INS_5FD2AF47B9E8,PP1060734,Car,1765.68,2024-05-18,Successful,Successful
INS_BCE3333D5111,PP0032610,Car,7662.05,2024-09-24,Successful,Successful
INS_23ED47553224,PP1071835,Health,2843.15,2024-02-17,Successful,Successful
INS_129D1268021E,PP1083514,Health,18674.55,2024-03-15,Successful,Successful
INS_D206445D0E92,PP0002510,Car,19484.72,2024-05-08,Successful,Successful
INS_ACF4B29EF640,PP0027708,Health,14261.3,2024-10-15,Failed,Wrong PIN
INS_EA74F6399A1E,PP1083683,Health,17650.62,2024-02-14,Successful,Successful
INS_F83EBC97E276,PP1065590,Term Life,1772.12,2024-09-18,Successful,Successful
INS_A18719523AE6,PP0016919,Car,3960.84,2024-09-22,Successful,Successful
INS_2A9DA3BE43EA,PP0016020,Bike,3863.15,2024-06-08,Successful,Successful
INS_7E84DD66F12C,PP0004515,Health,885.16,2024-07-30,Successful,Successful
INS_6E8602E514F0,PP0016085,Term Life,9313.37,2024-06-21,Successful,Successful
INS_8909CE40510E,PP0010606,Bike,17766.61,2024-05-25,Successful,Successful
INS_AEB002B2D74C,PP1094524,Car,4874.63,2024-10-09,Successful,Successful
INS_251971D58135,PP1080159,Car,9461.08,2024-10-08,Successful,Successful
INS_EFC0B263E7A7,PP0048401,Bike,8668.68,2024-04-05,Successful,Successful
INS_99B6BD922354,PP1073625,Health,5269.6,2024-09-10,Successful,Successful
INS_DB22FB0A12CF,PP1107350,Health,7078.18,2024-04-30,Successful,Successful
INS_8E46CDA31BD6,PP1092102,Term Life,10196.02,2024-05-10,Successful,Successful
INS_26729A6581CE,PP0005278,Health,11533.91,2024-02-03,Successful,Successful
INS_84BDE021FE8B,PP1074988,Term Life,5404.62,2024-03-27,Successful,Successful
INS_470CAEFCD03D,PP0035771,Car,16840.64,2024-02-16,Successful,Successful
INS_88B2C4FCA105,PP1082866,Term Life,7178.73,2024-09-01,Successful,Successful
INS_83B7C8A63A6C,PP1049381,Car,3021.56,2024-08-07,Successful,Successful
INS_F52716E427D2,PP0019617,Bike,13007.93,2024-12-17,Successful,Successful
INS_67616F0DA80C,PP1096340,Term Life,18344.78,2024-12-30,Successful,Successful
INS_32E343EB40E1,PP0048073,Health,19113.2,2024-05-13,Successful,Successful
INS_E8B901A5C9FE,PP1107554,Health,16435.64,2024-02-25,Successful,Successful
INS_9366B4330B1C,PP0003722,Bike,1469.68,2024-08-07,Failed,Server error
INS_1C9E8D0A52A5,PP1082304,Bike,12824.61,2024-06-05,Successful,Successful
INS_767BB9BEE33F,PP1079309,Term Life,600.58,2024-10-21,Successful,Successful
INS_681429FE4319,PP1088712,Bike,4836.73,2024-05-27,Successful,Successful
INS_D696299342D0,PP1060154,Car,19545.57,2024-06-19,Successful,Successful
INS_6030DFE928BD,PP0032047,Health,17853.58,2024-11-19,Successful,Successful
INS_C59FB8A67EED,PP0017070,Term Life,6936.25,2024-07-26,Successful,Successful
INS_B4F7A584EFA1,PP0032478,Term Life,16130.55,2024-02-14,Successful,Successful
INS_72FE728D0E86,PP0032253,Car,5182.94,2024-04-26,Successful,Successful
INS_C27A68BFEC37,PP0003805,Health,2750.28,2024-03-08,Successful,Successful
INS_BCFAB07AE473,PP1090001,Term Life,17524.13,2024-03-11,Successful,Successful
INS_8EC204DB5319,PP1086337,Health,2908.18,2024-04-18,Successful,Successful
INS_7DEF813D5A5F,PP1087971,Bike,11515.24,2024-04-11,Successful,Successful
INS_A8D3B975391B,PP1050762,Health,18177.66,2024-02-03,Successful,Successful
INS_928CDE709299,PP0006648,Bike,15266.21,2024-05-26,Failed,Insufficient amount
INS_51A1DA60B342,PP1049886,Car,10173.98,2024-01-07,Successful,Successful
INS_A4B04EC2B7A2,PP1094455,Bike,8138.01,2024-12-24,Successful,Successful
INS_8007329D9458,PP0005862,Car,7659.8,2024-10-22,Successful,Successful
INS_7484863AFC42,PP0009430,Term Life,11791.94,2024-05-19,Successful,Successful
INS_B21C62BEA3D7,PP1102227,Car,7880.98,2024-07-23,Successful,Successful
INS_66A504CB6ED5,PP1080540,Car,15826.09,2024-06-14,Successful,Successful
INS_96C24F568865,PP0024227,Bike,12326.42,2024-04-27,Successful,Successful
INS_821120213AAE,PP0009979,Bike,7601.52,2024-11-17,Successful,Successful
INS_C365B4822F9C,PP0049488,Bike,10982.73,2024-10-10,Successful,Successful
INS_62ADC91B98EC,PP0032103,Term Life,16882.33,2024-06-16,Successful,Successful
INS_6EF351E199F2,PP1099589,Term Life,3596.87,2024-05-12,Successful,Successful
INS_0C35E3E55E16,PP0046376,Term Life,3753.59,2024-01-12,Successful,Successful
INS_65D1BFF8A7B7,PP0026698,Bike,16851.9,2024-12-10,Successful,Successful
INS_C9230B418D48,PP1106723,Term Life,16820.27,2024-06-13,Successful,Successful
INS_6F118415376C,PP0048025,Health,12610.71,2024-10-25,Successful,Successful
INS_D3352ADC1DD8,PP0016345,Health,12364.02,2024-05-06,Successful,Successful
INS_D7F4D33A3377,PP0020205,Car,17481.3,2024-04-23,Successful,Successful
INS_E4354B1572C2,PP1074225,Health,8106.35,2024-08-14,Successful,Successful
INS_23A9429E6A20,PP0025825,Car,13359.37,2024-10-15,Successful,Successful
INS_F38DEAC6A3E1,PP1064426,Car,5735.53,2024-07-27,Successful,Successful
INS_43C666851461,PP1066353,Bike,15975.53,2024-11-07,Successful,Successful
INS_A4DECD62D959,PP0042784,Bike,7004.96,2024-02-19,Successful,Successful
INS_71A171A4E104,PP0032667,Bike,2518.46,2024-05-27,Successful,Successful
INS_2C71C8102E5E,PP0033243,Term Life,18445.03,2024-03-15,Successful,Successful
INS_5FE0B00C0CD9,PP1066643,Car,8397.86,2024-07-01,Successful,Successful
INS_738599BEEBA4,PP0002390,Health,14407.91,2024-07-11,Successful,Successful
INS_6756A241C64E,PP0028186,Health,5893.11,2024-08-23,Successful,Successful
INS_47BDD24FB4EB,PP0034554,Term Life,13552.9,2024-08-20,Successful,Successful
INS_41E2FC0BBA23,PP0044845,Bike,17154.05,2024-04-08,Successful,Successful
INS_1190BDD87456,PP1089255,Health,16429.33,2024-12-16,Successful,Successful
INS_D8002FCC8D49,PP0032087,Car,1240.54,2024-11-16,Successful,Successful
INS_091B06D9305D,PP1061148,Car,17849.13,2024-11-11,Successful,Successful
INS_BEF87377B2E9,PP0047352,Car,12887.19,2024-02-06,Successful,Successful
INS_88CB342AA40D,PP0023962,Term Life,10809.16,2024-02-21,Failed,Insufficient amount
INS_4087519F02B6,PP1052841,Health,16806.21,2024-12-26,Successful,Successful
INS_DDC22A1BF359,PP0000577,Bike,14861.7,2024-05-27,Successful,Successful
INS_0AFAD74D91E0,PP1104606,Term Life,15426.04,2024-04-27,Successful,Successful
INS_F07CFA814265,PP0033758,Car,12530.12,2024-06-20,Successful,Successful
INS_A8E307E8AF53,PP1065821,Bike,10338.81,2024-11-04,Successful,Successful
INS_88480F6733B6,PP1049681,Term Life,18441.49,2024-10-13,Successful,Successful
INS_B5DC8F03A326,PP0000272,Term Life,11512.94,2024-10-11,Successful,Successful
INS_520D008EBEE1,PP1062686,Car,8932.11,2024-05-27,Successful,Successful
INS_7836B1341F21,PP1055920,Health,8926.88,2024-07-10,Successful,Successful
INS_4950E9992BA3,PP1106597,Health,7374.9,2024-06-10,Successful,Successful
INS_C1ED55889AA1,PP0006301,Health,12129.83,2024-04-28,Successful,Successful
INS_91866BB215B8,PP0010459,Bike,3895.11,2024-09-25,Successful,Successful
INS_ED8BCAF8FF31,PP0015897,Term Life,13064.96,2024-10-29,Successful,Successful
INS_A8070E0BF5EA,PP0036618,Term Life,6652.13,2024-03-07,Successful,Successful
INS_F8B66EF1509E,PP0002102,Term Life,5540.09,2024-06-18,Successful,Successful
INS_04C57BF67E12,PP0043344,Health,14612.26,2024-02-05,Successful,Successful
INS_D141DBB3CA98,PP0049735,Health,12984.92,2024-03-26,Successful,Successful
INS_95C423FB2A42,PP1071560,Bike,5280.52,2024-11-05,Successful,Successful
INS_0BFF00BF39BC,PP0044398,Bike,17880.46,2024-08-08,Successful,Successful
INS_40295609C279,PP0028719,Term Life,15507.48,2024-08-08,Successful,Successful
INS_305FCCA28B2E,PP1052848,Health,16010.93,2024-06-25,Successful,Successful
INS_DC8116075ED0,PP1095861,Bike,3465.02,2024-05-02,Successful,Successful
INS_D43E10E90E42,PP0003685,Car,16516.6,2024-08-27,Successful,Successful
INS_CBD99153A571,PP1092114,Car,1418.08,2024-07-22,Successful,Successful
INS_F25E55E890DC,PP1087884,Health,3252.57,2024-12-11,Successful,Successful
INS_DD783A90E53B,PP1061926,Bike,9785.5,2024-05-03,Successful,Successful
INS_A1AA37FA0249,PP0049200,Bike,889.98,2024-12-11,Successful,Successful
INS_591AEBF7FA51,PP1092379,Health,18423.03,2024-07-05,Successful,Successful
INS_477B1988C03F,PP0011418,Term Life,814.28,2024-02-28,Successful,Successful
INS_2F1C01D68F55,PP0021413,Car,2833.84,2024-06-24,Successful,Successful
INS_0339994523F7,PP1094848,Health,17950.78,2024-04-07,Successful,Successful
INS_2DB71B730F8F,PP0043248,Health,2097.76,2024-09-07,Successful,Successful
INS_7BBFB51B237C,PP1100430,Bike,11832.73,2024-03-08,Successful,Successful
INS_BDF3FC3B4785,PP1051547,Bike,10465.85,2024-02-13,Successful,Successful
INS_7F97EACEF4D0,PP1078838,Car,2770.46,2024-12-24,Successful,Successful
INS_F2D9C3233081,PP0040190,Health,13617.13,2024-06-25,Failed,Insufficient amount
INS_3B2DACCA43A6,PP0048900,Term Life,19555.87,2024-08-07,Successful,Successful
INS_5827CB1721AF,PP1073553,Bike,18094.85,2024-06-27,Successful,Successful
INS_9EA8FACB2D07,PP0042432,Health,18450.07,2024-07-27,Successful,Successful
INS_210E3D25C26F,PP0009024,Bike,15193.2,2024-02-25,Failed,Server error
INS_CC7F0C0DE074,PP0023071,Bike,1873.25,2024-11-29,Successful,Successful
INS_EBF0D46EE3CD,PP1080494,Car,9159.47,2024-11-14,Successful,Successful
INS_F90BB9AC99D7,PP0030587,Health,9232.78,2024-01-08,Successful,Successful
INS_A515A32ABDE9,PP0025238,Term Life,8218.03,2024-08-04,Successful,Successful
INS_8077FFDCD032,PP0034665,Car,3555.28,2024-09-11,Successful,Successful
INS_AED67E01D47F,PP0013994,Health,16446.13,2024-01-14,Successful,Successful
INS_718F758DFA9E,PP0008854,Health,7606.48,2024-02-20,Successful,Successful
INS_F64520FC39A5,PP1092759,Car,5931.43,2024-05-05,Successful,Successful
INS_8853B7F51EBE,PP0022519,Term Life,7248.06,2024-04-23,Successful,Successful
INS_69443E12A54F,PP0022092,Bike,14038.03,2024-05-28,Successful,Successful
INS_FD5DFCE37CB6,PP0037753,Term Life,911.42,2024-08-22,Successful,Successful
INS_CBE19C4613FA,PP0007280,Bike,1645.88,2024-10-28,Successful,Successful
INS_C4CBB94B2891,PP1080106,Term Life,15610.14,2024-07-12,Successful,Successful
INS_D3D689A5AB53,PP0004266,Health,7065.41,2024-04-13,Successful,Successful
INS_A8542E6A43A9,PP1067371,Term Life,13288.84,2024-12-27,Successful,Successful
INS_EECEACBBBEC8,PP0047077,Term Life,11253.95,2024-01-02,Successful,Successful
INS_D878DDF431C6,PP1073240,Bike,16491.41,2024-05-12,Successful,Successful
INS_CA3DC64B0817,PP1100529,Bike,11291.37,2024-08-29,Successful,Successful
INS_E6DF4E15E0C5,PP1091662,Health,13435.68,2024-06-12,Successful,Successful
INS_75B76D0AE961,PP0002434,Bike,19325.11,2024-06-01,Successful,Successful
INS_500E0EB757B0,PP1092409,Term Life,7694.36,2024-05-23,Failed,Insufficient amount
INS_2A0E257D7EC1,PP1080671,Bike,7874.4,2024-04-11,Successful,Successful
INS_04EE69197BC7,PP1090515,Health,11152.02,2024-05-29,Successful,Successful
INS_ECAE7250E9EF,PP0001086,Health,17921.0,2024-04-27,Successful,Successful
INS_C6F4B969FFB7,PP1081325,Health,6351.67,2024-12-22,Successful,Successful
INS_37DFFB38000C,PP0011452,Term Life,12468.02,2024-08-07,Successful,Successful
INS_32D4476955B6,PP0023152,Car,3804.93,2024-02-22,Successful,Successful
INS_FAB69162398B,PP0012549,Bike,15869.29,2024-01-09,Successful,Successful
INS_011933F082DE,PP0043613,Car,1354.76,2024-05-10,Successful,Successful
INS_3D864C1E1C4E,PP0042938,Health,5425.75,2024-12-18,Successful,Successful
INS_592351E54DEB,PP1087927,Bike,19651.59,2024-05-19,Successful,Successful
INS_621C2CAEECCE,PP1075733,Car,13153.02,2024-09-10,Successful,Successful
INS_694EB1DBC358,PP0037868,Bike,10105.38,2024-06-19,Successful,Successful
INS_10EA47DC1070,PP1088069,Health,19035.71,2024-08-04,Successful,Successful
INS_36AF54C0D616,PP0041382,Bike,3119.67,2024-04-20,Successful,Successful
INS_411BEDAD84F5,PP0032296,Car,4890.51,2024-01-12,Successful,Successful
INS_523016D84DEE,PP0020085,Bike,6947.61,2024-12-10,Successful,Successful
INS_CC177A0A843C,PP0013916,Health,16938.68,2024-01-26,Successful,Successful
INS_93C55CE1E4B3,PP1093563,Term Life,1864.01,2024-03-01,Successful,Successful
INS_B522D9135A21,PP0043730,Health,10643.04,2024-04-30,Successful,Successful
INS_AA491258926A,PP0001691,Bike,2063.32,2024-11-03,Successful,Successful
INS_56FFE3294793,PP1062755,Term Life,19329.58,2024-05-16,Successful,Successful
INS_A6B8C42A5E6B,PP1094377,Health,12563.2,2024-04-10,Successful,Successful
INS_C9EE852D0C66,PP1088065,Term Life,8876.21,2024-09-07,Successful,Successful
INS_2B4C7598470B,PP1105115,Term Life,16624.66,2024-10-29,Successful,Successful
INS_3E21D6DBDD6D,PP0011579,Health,2246.89,2024-05-26,Successful,Successful
INS_87511B3AA37B,PP1090570,Car,1297.56,2024-01-16,Successful,Successful
INS_6CBD9330EDE4,PP1079163,Term Life,2996.23,2024-03-03,Successful,Successful
INS_BF8AE430C37B,PP1067780,Health,18613.37,2024-07-23,Successful,Successful
INS_27E11B6FAD0E,PP1058682,Bike,6692.74,2024-04-17,Successful,Successful
